,trade_date,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
40,2023-05-15,총포괄손익,,20230101-20230331,1488029054341.0,20230515001841,분기보고서 (2023.03),20230515,2023-05-15,005490,155319,POSCO홀딩스,,
41,2023-05-15,총포괄손익,,20220101-20220331,2298514264929.0,20230515001841,분기보고서 (2023.03),20230515,2023-05-15,005490,155319,POSCO홀딩스,,
42,2023-05-15,총포괄손익,,20220701-20220930,1709990093701.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
43,2023-05-15,총포괄손익,,20220101-20220930,5843686278750.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
44,2023-05-15,총포괄손익,,20210701-20210930,2945634036761.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
45,2023-05-15,총포괄손익,,20210101-20210930,6277401760730.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
46,2023-05-15,총포괄손익,,20220101-20220331,2298514264929.0,20220516002202,분기보고서 (2022.03),20220516,2022-05-16,005490,155319,POSCO홀딩스,,
47,2023-05-15,총포괄손익,,20210101-20210331,1479850801305.0,20220516002202,분기보고서 (2022.03),20220516,2022-05-16,005490,155319,POSCO홀딩스,,
48,2023-11-14,총포괄손익,,20230701-20230930,699086412505.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
49,2023-11-14,총포괄손익,,20230101-20230930,1932106387697.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
50,2023-11-14,총포괄손익,,20220701-20220930,859454910924.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
51,2023-11-14,총포괄손익,,20220101-20220930,1777776321774.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
52,2023-05-15,총포괄손익,,20230101-20230331,850638550863.0,20230515002370,분기보고서 (2023.03),20230515,2023-05-15,006400,126362,삼성SDI,,
53,2023-05-15,총포괄손익,,20220101-20220331,530500026588.0,20230515002370,분기보고서 (2023.03),20230515,2023-05-15,006400,126362,삼성SDI,,
54,2023-05-15,총포괄손익,,20220701-20220930,859454910924.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
55,2023-05-15,총포괄손익,,20220101-20220930,1777776321774.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
56,2023-05-15,총포괄손익,,20210701-20210930,689834161468.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
57,2023-05-15,총포괄손익,,20210101-20210930,1587410204850.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
58,2023-05-15,총포괄손익,,20220101-20220331,530500026588.0,20220516001936,분기보고서 (2022.03),20220516,2022-05-16,006400,126362,삼성SDI,,
