,label_ko,class2,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,class3,class4,comment
65,매출총이익,,20220101-20220331,30709441000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
66,판매비와관리비,,20220101-20220331,16588032000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
67,영업이익,,20220101-20220331,14121409000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
68,당기순이익(손실),,20220101-20220331,11324628000000.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
69,기본주당이익(손실),기본주당이익(손실),20220101-20220331,1638.0,20230515002335,분기보고서 (2023.03),20230515,2023-05-15,005930,126380,삼성전자,,,
91,수익(매출액),,20220701-20220930,76781680000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
92,매출원가,,20220701-20220930,48072237000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
93,매출총이익,,20220701-20220930,28709443000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
94,판매비와관리비,,20220701-20220930,17857398000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
95,영업이익,,20220701-20220930,10852045000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
96,당기순이익(손실),,20220701-20220930,9389198000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
97,기본주당이익(손실),기본주당이익(손실),20220701-20220930,1346.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
98,수익(매출액),,20220101-20220930,231766785000000.0,20221114001832,분기보고서 (2022.09),20221114,2022-11-14,005930,126380,삼성전자,,,
