,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
81,총포괄손익,,20220701-20220930,1709990093701.0,20231114002784,분기보고서 (2023.09),20231114,2023-11-14,005490,155319,POSCO홀딩스,,
82,총포괄손익,,20220101-20220930,5843686278750.0,20231114002784,분기보고서 (2023.09),20231114,2023-11-14,005490,155319,POSCO홀딩스,,
87,총포괄손익,,20230101-20230331,1488029054341.0,20230515001841,분기보고서 (2023.03),20230515,2023-05-15,005490,155319,POSCO홀딩스,,
88,총포괄손익,,20220101-20220331,2298514264929.0,20230515001841,분기보고서 (2023.03),20230515,2023-05-15,005490,155319,POSCO홀딩스,,
95,총포괄손익,,20220701-20220930,1709990093701.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
96,총포괄손익,,20220101-20220930,5843686278750.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
97,총포괄손익,,20210701-20210930,2945634036761.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
98,총포괄손익,,20210101-20210930,6277401760730.0,20221114002122,분기보고서 (2022.09),20221114,2022-11-14,005490,155319,POSCO홀딩스,,
103,총포괄손익,,20220101-20220331,2298514264929.0,20220516002202,분기보고서 (2022.03),20220516,2022-05-16,005490,155319,POSCO홀딩스,,
104,총포괄손익,,20210101-20210331,1479850801305.0,20220516002202,분기보고서 (2022.03),20220516,2022-05-16,005490,155319,POSCO홀딩스,,
105,총포괄손익,,20230701-20230930,699086412505.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
106,총포괄손익,,20230101-20230930,1932106387697.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
107,총포괄손익,,20220701-20220930,859454910924.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
108,총포괄손익,,20220101-20220930,1777776321774.0,20231114002259,분기보고서 (2023.09),20231114,2023-11-14,006400,126362,삼성SDI,,
113,총포괄손익,,20230101-20230331,850638550863.0,20230515002370,분기보고서 (2023.03),20230515,2023-05-15,006400,126362,삼성SDI,,
114,총포괄손익,,20220101-20220331,530500026588.0,20230515002370,분기보고서 (2023.03),20230515,2023-05-15,006400,126362,삼성SDI,,
127,총포괄손익,,20220701-20220930,859454910924.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
128,총포괄손익,,20220101-20220930,1777776321774.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
129,총포괄손익,,20210701-20210930,689834161468.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
130,총포괄손익,,20210101-20210930,1587410204850.0,20221114002002,분기보고서 (2022.09),20221114,2022-11-14,006400,126362,삼성SDI,,
135,총포괄손익,,20220101-20220331,530500026588.0,20220516001936,분기보고서 (2022.03),20220516,2022-05-16,006400,126362,삼성SDI,,
136,총포괄손익,,20210101-20210331,354840497300.0,20220516001936,분기보고서 (2022.03),20220516,2022-05-16,006400,126362,삼성SDI,,
145,당기순이익(손실),,20230101-20230331,40218302952.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
146,총포괄손익,,20230101-20230331,54716637235.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
147,당기순이익(손실),,20220101-20220331,35995680188.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
148,총포괄손익,,20220101-20220331,42157836721.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
161,당기순이익(손실),,20220701-20220930,65629793719.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
162,총포괄손익,,20220701-20220930,88471188254.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
163,당기순이익(손실),,20220101-20220930,148054861746.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
164,총포괄손익,,20220101-20220930,187550288011.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
165,당기순이익(손실),,20210701-20210930,40879844801.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
166,총포괄손익,,20210701-20210930,45438194101.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
167,당기순이익(손실),,20210101-20210930,114549164695.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
168,총포괄손익,,20210101-20210930,120780447865.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
169,당기순이익(손실),,20220701-20220930,65629793719.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
170,총포괄손익,,20220701-20220930,88471188254.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
171,당기순이익(손실),,20220101-20220930,148054861746.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
172,총포괄손익,,20220101-20220930,187550288011.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
173,당기순이익(손실),,20210701-20210930,40879844801.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
