,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,61019664.0,2511312404.0,10520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,0.0,2500000000.0,10500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ifrs-full_OtherNoncurrentFinancialLiabilities,기타부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타부채,61019664.0,11312404.0,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,27887706305.0,22260252294.0,20321004814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,entity00146542_udf_BS_2018326164939187_EquityAbstract,납입자본,entity00146542_udf_BS_2018326164939187_EquityAbstract,재무상태표 [abstract],자본 [abstract],납입자본,,6000000000.0,6000000000.0,6000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,entity00146542_udf_BS_2018326164949211_EquityAbstract,기타자본구성요소,entity00146542_udf_BS_2018326164949211_EquityAbstract,재무상태표 [abstract],자본 [abstract],기타자본구성요소,,5550607939.0,5885636111.0,5685143845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,entity00146542_udf_BS_20183261650528_EquityAbstract,이익잉여금(결손금),entity00146542_udf_BS_20183261650528_EquityAbstract,재무상태표 [abstract],자본 [abstract],이익잉여금(결손금),,-7199480488.0,1151987767.0,9781756039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,4351127450.0,13037623877.0,21466899884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,32238833755.0,35297876171.0,41787904698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,30927207710.0,33926678068.0,29764724941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,297158955.0,987677775.0,2225262376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,280000000.0,280000000.0,399593600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,10860536006.0,13821708010.0,9016573911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,entity00210856_udf_BS_2020119154341312_CurrentAssets,계약자산,NEWAccount for Current assets 9,재무상태표 [abstract],자산 [abstract],유동자산,계약자산,1857874591.0,2772542080.0,3044034018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,entity00210856_udf_BS_2020119154353448_CurrentAssets,반환자산,NEWAccount for Current assets (2,재무상태표 [abstract],자산 [abstract],유동자산,반환자산,12834457.0,14710677.0,125242073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,15858418929.0,14694933202.0,13808100590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1760384772.0,1355106324.0,1145918373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,45318917199.0,45372567873.0,43471299548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,60973126.0,1584794265.0,990850797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,entity00210856_udf_BS_2020119154742865_NoncurrentAssets,당기손익 공정가치측정금융자산,NEWAccount for Current assets 9,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익 공정가치측정금융자산,97566400.0,97566400.0,97566400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,400502500.0,400502500.0,400502500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,400502500.0,400502500.0,400502500.0,비유동 기타포괄손익-공정가치 측정 금융자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,38067788846.0,37465546811.0,36789016709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,1644041982.0,1680090885.0,1299185972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,dart_OtherIntangibleAssetsGross,기타무형자산,"Other intangible assets, gross",재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,1644041982.0,1680090885.0,1299185972.0,기타무형자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,entity00210856_udf_BS_2020119155121897_NoncurrentAssets,기타금융자산,NEWAccount for Current assets (3,재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,5048044345.0,4144067012.0,3894177170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,76246124909.0,79299245941.0,73236024489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,50790972728.0,55625237254.0,44660686387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,46795265730.0,51652393614.0,40868789715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,entity00210856_udf_BS_2020119155156313_TradeAndOtherCurrentPayables,매입채무및기타채무,NEWAccount for Current assets (5,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,20397465313.0,26274674882.0,19205921203.0,매입채무및기타채무,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ifrs-full_CurrentContractLiabilities,유동계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,874709192.0,2800522595.0,566531069.0,유동계약부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,25302545722.0,22181602685.0,20817838000.0,단기차입금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,220545503.0,395593452.0,278499443.0,유동리스부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,0.0,20319815.0,42182057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,3788000000.0,3858000000.0,3495737700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,187892198.0,71729277.0,64526424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ifrs-full_CurrentProvisions,유동충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,19814800.0,22794548.0,189450491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,dart_CurrentProvisionsForReturnedGoods,유동반품충당부채,Current provisions for returned goods,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,19814800.0,22794548.0,189450491.0,유동반품충당부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,7584908635.0,4633953026.0,4588013361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,4353846269.0,507445490.0,573824153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,4187557390.0,187557390.0,187557390.0,장기차입금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,166288879.0,319888100.0,386266763.0,비유동리스부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,entity00210856_udf_BS_2020119155520345_NoncurrentLiabilities,순확정급여채무,NEWAccount for Current assets (6,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여채무,3231062366.0,4126507536.0,4014189208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,58375881363.0,60259190280.0,49248699748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,17361555305.0,18769397514.0,23827586297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,15453605000.0,15453605000.0,15453605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,entity00210856_udf_BS_2020119155548961_EquityAttributableToOwnersOfParent,기타불입자본,NEWAccount for Current assets (7,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타불입자본,7551063959.0,7551063959.0,7551063959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-29844750.0,-16686121.0,-75970317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),-5613268904.0,-4218585324.0,898887655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,508688241.0,270658147.0,159738444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,17870243546.0,19040055661.0,23987324741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,76246124909.0,79299245941.0,73236024489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,68846398820.0,45536574854.0,12651239921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,2192050607.0,260246145.0,1531123156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타금융자산,841144386.0,169967431.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,14466720758.0,7235367380.0,5443927989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,32504228719.0,36601263773.0,751587070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,dart_OtherCurrentAssets,기타자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타자산,18842254350.0,1269730125.0,4914601706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,28617053043.0,62559959031.0,56579844930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,11469362743.0,14757499548.0,8054391826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1682347726.0,1709360536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,8472580745.0,10559545867.0,1132948082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,6817765316.0,12559695804.0,14217024805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,entity00273615_udf_BS_2023311181540990_NoncurrentAssets,관계기업투자주식,Associated company investment stock,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자주식,,,28314000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,14800764.0,12524178123.0,10500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권 및 기타채권,160195749.0,10449679153.0,4850980217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,97463451863.0,108096533885.0,69231084851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,86096854972.0,82067288386.0,40866851573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,23898135413.0,18000263690.0,5286811870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,dart_OtherCurrentLiabilities,기타부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타부채,3933541610.0,6808974191.0,97415172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,dart_CurrentWorkoutPayables,유동성회생채무,Current workout payables,재무상태표 [abstract],부채 [abstract],유동부채,유동성회생채무,67599975.0,76984888.0,76984874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,entity00273615_udf_BS_202139111518100_CurrentLiabilities,단기차입금,a short-term debt,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,1303800854.0,1452258231.0,1899808414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,26395697919.0,19043156013.0,30312354716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,295743981.0,547967988.0,400363161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성사채,4779565362.0,1649164621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,dart_CurrentPortionOfConvertibleBonds,유동성전환사채,Current portion of convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성전환사채,16106715357.0,18223999960.0,787277245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,5316054501.0,12264518804.0,2005836121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,entity00273615_udf_BS_2022511181029925_CurrentLiabilities,당기손익인식금융부채,Fair value financial Liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기손익인식금융부채,4000000000.0,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,3812863150.0,20999720846.0,5315416414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
