,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
24,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,86096854972.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
25,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,3812863150.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
26,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,89909718122.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
27,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,7553733741.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
28,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,45536574854.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
29,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,62559959031.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
30,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,108096533885.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
31,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,82067288386.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
32,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,20999720846.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
33,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,103067009232.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
34,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,5029524653.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
35,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20201231,12651239921.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
36,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20201231,56579844930.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
37,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20201231,69231084851.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
38,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20201231,40866851573.0,20230323001395,사업보고서 (2022.12),20230323,20230323,030790,00273615,비케이탑스
