,end_quarter,quarter,year,100220,1020,102280,10400,10420,10640,1070,10770,11090,11230,11300,11390,1140,118000,119650,1210,12160,12170,12200,123700,1260,12600,129260,13000,133820,134790,13520,1380,14130,143210,14440,145210,145270,14910,14990,15260,155660,1620,17180,17370,18500,19180,204210,2070,20760,21050,21820,220,2220,23150,2360,23810,23960,24070,2410,25530,25560,25620,25750,2630,27740,27970,2820,2870,2880,2920,300,3010,30720,30790,3080,31820,33180,33250,34300,3560,357430,3780,378850,396690,40,4100,41650,4270,44380,4440,4450,446070,4540,4830,4870,4920,49800,5110,5320,5360,5750,5820,590,6200,6570,6660,6880,69640,6980,71090,7120,71950,72130,760,7610,7980,8110,8250,84670,84870,850,8500,85310,8600,8870,88790,890,90080,90370,910,91090,9140,9180,9190,92780,9310,93240,9440,950,9810
0,1,1,2022,272513302518.0,495775298878.0,277957367601.0,111372087766.0,130143787894.0,48955028001.0,239551092531.0,543226608900.0,122053294552.0,68676593578.0,141032059024.0,132454203437.0,102073991739.0,175179676168.0,366490308136.0,83076322586.0,531437387322.0,64070004589.0,311843090265.0,242042893018.0,310293419088.0,34242285513.0,418470713089.0,49075657960.0,,,1225423477685.0,192039162535.0,373528090062.0,920059045723.0,177190741255.0,115610401778.0,250329964874.0,55759776324.0,115471491188.0,,312404573335.0,551138682846.0,223351228488.0,296716957415.0,456870590279.0,340971745897.0,,206205586456.0,148375578393.0,307296093768.0,639642596799.0,195777195698.0,349126713523.0,438590124882.0,122300280333.0,372451824571.0,92873784408.0,139557417215.0,218496584758.0,330136277162.0,122220085818.0,77247358525.0,326448700816.0,,180229381747.0,,545963119482.0,89568549629.0,1278247437133.0,405389489958.0,580993550719.0,204902751303.0,109199329347.0,107877166104.0,173672634132.0,346433979697.0,1258493779369.0,78124118180.0,,289653436324.0,85665308604.0,78872229323.0,415632934452.0,311867385735.0,165200354112.0,470642884125.0,508145600298.0,289220892377.0,58243071675.0,345871243099.0,247129590970.0,,622946481221.0,129385649334.0,848333647741.0,89683046166.0,287269440808.0,132664314309.0,178379049463.0,208522870131.0,332770044823.0,171714289413.0,355668107071.0,465186757590.0,166456351743.0,258977453187.0,246047985487.0,134230995381.0,344438886798.0,281134273450.0,,83001257716.0,61182189120.0,271870472333.0,160543841522.0,809900679657.0,218801472687.0,424569212415.0,163100481266.0,119477850896.0,437518560692.0,49361510818.0,130687179558.0,294381752262.0,331130648780.0,130909519683.0,152610775438.0,228146735693.0,83499636129.0,371882400596.0,306328109345.0,66729747432.0,301484492766.0,,371932615236.0,732107160832.0,123124068942.0,891818140027.0,396493000328.0,138242019873.0
1,2,2,2022,280009538435.0,494834668434.0,255665991548.0,109542125871.0,128350959951.0,47506784976.0,232321175676.0,544348051873.0,130663529493.0,68767477290.0,141217074434.0,136571030063.0,111735095362.0,161926752530.0,329861051256.0,82318629793.0,557843738682.0,67444906845.0,304553847853.0,250308869412.0,344729990650.0,32606388816.0,423842370952.0,49426978454.0,,103878472712.0,1259951621944.0,191294962256.0,409535759273.0,963828259726.0,175697442006.0,113686475114.0,248723836590.0,57298101753.0,115189814644.0,99262396242.0,374426275180.0,551992032458.0,222094394400.0,294423073769.0,471073997703.0,369494029349.0,,218000944510.0,140146014889.0,,628831844307.0,192544304587.0,355796365372.0,449387755086.0,121119165910.0,391694993120.0,97043086097.0,139119526112.0,282810969560.0,336562370894.0,133007052683.0,76106473510.0,329721286532.0,,175975546338.0,,567112132835.0,85610003822.0,1357734941331.0,409385787288.0,571677918122.0,211197345182.0,127862640510.0,101502125728.0,167744597446.0,343334340540.0,1230701078773.0,75915188601.0,,325729120359.0,177473457254.0,78645214348.0,422463570709.0,333516330078.0,164020667207.0,466467781971.0,533314028424.0,289700382962.0,59528912969.0,364179557833.0,244106158533.0,,654950064281.0,122929794231.0,,84959880314.0,290530320502.0,133124050458.0,184401042724.0,216279750873.0,332449200087.0,170093893634.0,363267881707.0,492552063154.0,172392746985.0,260984756417.0,250187187745.0,127423150760.0,411014501752.0,300075388375.0,96009861697.0,77146714357.0,59553476295.0,270132190965.0,155835356794.0,847651412880.0,218071741160.0,436555790406.0,168224821934.0,109554618058.0,443631629095.0,44534525212.0,131217745852.0,297303127878.0,326264691586.0,133846003947.0,152348565575.0,232043004984.0,93435802374.0,400468553661.0,299835350242.0,69514126763.0,299931189396.0,,373733975621.0,840156393501.0,109225633024.0,851633260386.0,357693450554.0,118585421466.0
2,3,3,2022,274233260634.0,506905330935.0,224139685982.0,110132577879.0,129367425674.0,46919218851.0,222055549907.0,553315451759.0,128474743589.0,68644068563.0,135833471968.0,133805317092.0,114966070236.0,145273464580.0,334990792358.0,81998060730.0,536181556724.0,67476901433.0,303911959423.0,262764809752.0,305244387947.0,35786100749.0,436808405588.0,51428460560.0,,99775870558.0,1277968670489.0,189388629989.0,419504591311.0,957962455688.0,183170183070.0,113381124959.0,263677754792.0,57559794030.0,119215377260.0,118706329897.0,379926080525.0,557796789861.0,223714440990.0,312233837568.0,509941695191.0,381880036329.0,,207270623389.0,133240426334.0,,717007765970.0,189858206785.0,355956030960.0,447156669192.0,126448924389.0,419802573093.0,96836305582.0,134553452103.0,232112115265.0,349594848948.0,140278028999.0,62250950194.0,328474608453.0,,168863272690.0,,578435007433.0,83563914691.0,1308640211830.0,414385149374.0,580321478183.0,237512981061.0,132485145147.0,100450736258.0,164392927648.0,413980286016.0,1236244466657.0,79629973098.0,,335238834266.0,180809193211.0,80323332378.0,433293220872.0,372079678661.0,171047243115.0,484444283848.0,570598817461.0,292703183577.0,59208965713.0,361515431787.0,220909791469.0,,672114967631.0,127946995602.0,,90891623540.0,301374447420.0,126708084342.0,200595802435.0,228159395847.0,339959853543.0,170275243132.0,371803969720.0,498221318349.0,176649778709.0,267148647970.0,252638290251.0,257941148177.0,413636526935.0,307404904479.0,94741952356.0,77852903144.0,57230391318.0,268623461001.0,143513973595.0,800675465745.0,237732389307.0,459798081885.0,170331796571.0,123308925314.0,453502538117.0,42648415880.0,134420032023.0,306670826524.0,307313894364.0,132305767468.0,153516832050.0,231030063271.0,120917740914.0,379829976191.0,362915452468.0,72642246017.0,285885906414.0,,386828106523.0,823961716728.0,107820901138.0,751807375016.0,373322101618.0,340973520686.0
3,4,4,2022,309226087513.0,501830145462.0,167746018396.0,111631385016.0,134944512348.0,46084520659.0,210639557874.0,558370415231.0,128080156342.0,68742292985.0,123872501880.0,134678926321.0,109959854401.0,189857328007.0,323473720683.0,61814213952.0,535684495341.0,73158525417.0,297554555403.0,243275367790.0,345922884373.0,29966720058.0,433167237634.0,49888720541.0,179622909869.0,85063020141.0,1177218098360.0,185935448420.0,407946966305.0,862588714003.0,180449397115.0,97847548126.0,270247968384.0,57241315662.0,119745167372.0,106799190000.0,364710386862.0,553570561673.0,230449822959.0,282515715608.0,470846200884.0,371353957512.0,103250759662.0,201061180940.0,117303570494.0,,648715813900.0,195205072788.0,339154971493.0,447440404391.0,124160292131.0,411164184888.0,106506525380.0,128503266423.0,215054261704.0,328166066953.0,134409509636.0,48387026626.0,319496520639.0,,174626136915.0,670596098546.0,524434319704.0,112417896625.0,1375206765319.0,427046002236.0,543210276853.0,,121789602384.0,97463451863.0,170785287337.0,558409431550.0,1246019564242.0,79085710937.0,1035610953877.0,246320129412.0,176736345962.0,82719954686.0,422569200239.0,328165013760.0,149185245583.0,490987940831.0,543596267420.0,271152128807.0,53242325293.0,411440527283.0,222783556966.0,213631274794.0,661046979250.0,125172358791.0,,94704398209.0,285245048447.0,113480993232.0,175008166225.0,218432623722.0,337590812772.0,169931826485.0,364121570785.0,469100261248.0,171792618625.0,308654791181.0,242350721393.0,224809704278.0,401969273009.0,292456090103.0,97492843199.0,76246124909.0,61023631583.0,268488318653.0,131739357945.0,721226342857.0,231635720084.0,442826933314.0,165498374153.0,112327631684.0,474032615936.0,32238833756.0,185745934911.0,270394721804.0,311192967703.0,129200779871.0,147392500947.0,236600606117.0,90016753672.0,376111723330.0,282702159615.0,68385030301.0,274496248985.0,400877091044.0,374266034502.0,739665588573.0,117627631015.0,792860678470.0,304781348634.0,303643329972.0
