,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231
,concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
22,dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,593750000000.0,50000000000.0,30000000000.0,150000000000.0,50000000000.0
23,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입,211903000000.0,149920000000.0,499952000000.0,0.0,153112000000.0
24,ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,3200751000000.0,0.0,0.0,,
25,dart_RepaymentsOfBonds,사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 상환,0.0,150000000000.0,0.0,50000000000.0,50000000000.0
26,dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,496987928125.0,30000000000.0,150000000000.0,90000000000.0,0.0
27,ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,유동성장기차입금의 상환,Repayments of borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,440355000000.0,10980000000.0,251650000000.0,246583354646.0,18750000000.0
28,ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 상환,56550582915.0,10753924352.0,5741881665.0,3222219801.0,0.0
29,entity00877059_udf_CF_2022111017202190_CashFlowsFromUsedInFinancingActivities,주식발행비용,Cost of issuing shares,현금흐름표 [abstract],재무활동현금흐름,주식발행비용,12430229430.0,0.0,0.0,,
30,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,-3241749282.0,831101197.0,-2214850064.0,-2511225000.0,0.0
31,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,843409186884.0,18560263159.0,-96250532565.0,107478748237.0,-340466186480.0
32,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,47410383773.0,28850120614.0,125100653179.0,17621904942.0,358088091422.0
33,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,890819570657.0,47410383773.0,28850120614.0,125100653179.0,17621904942.0
