,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
23,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20230101-20230331,7554100000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
24,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20220331,11324628000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
25,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20220331,12844104000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
26,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220701-20220930,9389198000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
27,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220701-20220930,19453494000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
28,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20220930,31812631000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
29,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20220930,47366741000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
30,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20210701-20210930,12293331000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
31,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210701-20210930,16914339000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
32,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20210930,29069502000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
33,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210101-20210930,39341202000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
34,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20220331,11324628000000.0,20220516001751,분기보고서 (2022.03),20220516,20220516,005930,00126380,삼성전자
35,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20220331,12844104000000.0,20220516001751,분기보고서 (2022.03),20220516,20220516,005930,00126380,삼성전자
36,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20210331,7141685000000.0,20220516001751,분기보고서 (2022.03),20220516,20220516,005930,00126380,삼성전자
37,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210101-20210331,11440811000000.0,20220516001751,분기보고서 (2022.03),20220516,20220516,005930,00126380,삼성전자
38,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20221231,779826000000.0,20230315001342,사업보고서 (2022.12),20230315,20230315,373220,01515323,LG에너지솔루션
39,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20211231,929868000000.0,20230315001342,사업보고서 (2022.12),20230315,20230315,373220,01515323,LG에너지솔루션
40,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20201201-20201231,-451771000000.0,20230315001342,사업보고서 (2022.12),20230315,20230315,373220,01515323,LG에너지솔루션
41,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20221231,2195518000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
42,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20221231,2134584000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
43,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20211231,3953904000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
44,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20210101-20211231,4801072000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
45,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20200101-20201231,682408000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
46,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20200101-20201231,612158000000.0,20230324001178,[기재정정]사업보고서 (2022.12),20230324,20230324,051910,00356361,LG화학
47,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20220101-20221231,2195518000000.0,20230320000692,사업보고서 (2022.12),20230320,20230320,051910,00356361,LG화학
48,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,20220101-20221231,2134584000000.0,20230320000692,사업보고서 (2022.12),20230320,20230320,051910,00356361,LG화학
49,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,20210101-20211231,3953904000000.0,20230320000692,사업보고서 (2022.12),20230320,20230320,051910,00356361,LG화학
